FILE_PATH,LINE_NUMBER,ICON_TYPE,CURRENT_PADDING,ICON_POSITIONING,SEVERITY,STATUS,NEEDS_POINTER_EVENTS,FIX_ACTION
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\admin\audit\page.tsx,310,Search,pl-11,absolute left-3 top-1/2,NONE,CORRECT,YES,Already Fixed
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\admin\onboarding\page.tsx,321-327,Search,pl-10,absolute left-3 top-1/2 -translate-y-1/2 transform,MEDIUM,NEEDS_FIXING,YES,Change pl-10 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\admin\users\page.tsx,264-270,Search,pl-10,absolute left-3 top-1/2 -translate-y-1/2 transform,MEDIUM,NEEDS_FIXING,YES,Change pl-10 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\capa\page.tsx,337-341,Search,pl-10,absolute left-3 top-1/2 -translate-y-1/2 transform,MEDIUM,NEEDS_FIXING,YES,Change pl-10 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\clients\page.tsx,139-144,Search,pl-9,absolute left-3 top-3,HIGH,NEEDS_FIXING,YES,Change pl-9 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\delivery\page.tsx,484-488,Search,pl-10,absolute left-3 top-1/2 -translate-y-1/2 transform,MEDIUM,NEEDS_FIXING,YES,Change pl-10 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\designs\page.tsx,220-225,Search,pl-9,absolute left-3 top-3,HIGH,NEEDS_FIXING,YES,Change pl-9 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\finishing-packing\page.tsx,443-447,Search,pl-10,absolute left-3 top-1/2 -translate-y-1/2 transform,MEDIUM,NEEDS_FIXING,YES,Change pl-10 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\hr-payroll\page.tsx,506-511,Search,pl-9,absolute left-3 top-3,HIGH,NEEDS_FIXING,YES,Change pl-9 to pl-11 and add pointer-events-none
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\inventory\finished-goods\page.tsx,395-401,Search,pl-11,absolute left-3 top-1/2 -translate-y-1/2,NONE,CORRECT,YES,Already Fixed
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\inventory\finished-goods\page.tsx,407-411,Filter,pl-11,absolute left-3 top-1/2 -translate-y-1/2,NONE,CORRECT,YES,Already Fixed
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\inventory\finished-goods\page.tsx,798-808,Currency (₱),pl-8,absolute left-3 top-1/2 -translate-y-1/2,MEDIUM,NEEDS_FIXING,YES,Change pl-8 to pl-11 and add pointer-events-none to span
c:\Users\Khell\Desktop\Ashley AI\services\ash-admin\src\app\inventory\finished-goods\page.tsx,817-827,Currency (₱),pl-8,absolute left-3 top-1/2 -translate-y-1/2,MEDIUM,NEEDS_FIXING,YES,Change pl-8 to pl-11 and add pointer-events-none to span
